datetime,temperature_2m,apparent_temperature,precipitation,relative_humidity_2m,cloud_cover,wind_speed_10m
2026-07-13 03:00:00,65.2,65.4,0.0,80,20,10.7
2026-07-13 04:00:00,64.6,64.8,0.0,81,61,10.1
2026-07-13 05:00:00,63.9,64.3,0.0,84,75,9.9
2026-07-13 06:00:00,63.7,64.4,0.0,87,5,10.1
2026-07-13 07:00:00,65.9,67.4,0.0,87,9,10.2
2026-07-13 08:00:00,68.7,71.6,0.0,80,58,5.6
2026-07-13 09:00:00,71.1,73.2,0.0,73,69,7.7
2026-07-13 10:00:00,74.3,76.0,0.0,64,39,9.7
2026-07-13 11:00:00,76.4,78.5,0.0,58,31,11.8
2026-07-13 12:00:00,77.5,80.6,0.0,56,7,13.0
2026-07-13 13:00:00,78.5,81.7,0.0,54,18,14.1
2026-07-13 14:00:00,78.9,82.3,0.004,54,30,13.3
2026-07-13 15:00:00,79.2,81.6,0.004,54,22,14.5
2026-07-13 16:00:00,79.4,81.9,0.0,55,5,14.4
2026-07-13 17:00:00,79.1,80.5,0.0,57,8,13.8
2026-07-13 18:00:00,78.2,79.5,0.0,61,13,13.6
2026-07-13 19:00:00,76.2,78.1,0.0,67,5,13.0
2026-07-13 20:00:00,74.1,75.6,0.0,70,3,13.4
2026-07-13 21:00:00,73.5,74.1,0.0,68,2,14.4
2026-07-13 22:00:00,72.5,72.8,0.0,69,1,14.8
2026-07-13 23:00:00,71.3,71.7,0.0,71,2,14.1
2026-07-14 00:00:00,70.1,70.0,0.0,73,2,14.8
2026-07-14 01:00:00,68.9,68.0,0.0,72,3,15.5
2026-07-14 02:00:00,67.6,66.7,0.0,74,5,15.3
2026-07-14 03:00:00,67.6,66.7,0.0,74,0,15.2
2026-07-14 04:00:00,67.1,66.3,0.0,76,2,15.2
2026-07-14 05:00:00,67.0,66.4,0.0,79,4,15.6
2026-07-14 06:00:00,67.1,67.0,0.0,80,27,14.7
2026-07-14 07:00:00,68.4,68.8,0.0,81,49,14.5
2026-07-14 08:00:00,71.2,73.4,0.0,79,2,11.3
2026-07-14 09:00:00,74.6,77.4,0.0,74,12,11.4
2026-07-14 10:00:00,78.1,82.2,0.0,69,38,11.4
2026-07-14 11:00:00,81.0,86.4,0.0,63,11,11.9
2026-07-14 12:00:00,83.4,90.3,0.0,61,48,12.7
2026-07-14 13:00:00,85.6,92.7,0.0,57,92,14.0
2026-07-14 14:00:00,85.4,92.1,0.0,58,89,14.8
2026-07-14 15:00:00,86.0,91.3,0.0,56,43,17.8
2026-07-14 16:00:00,86.2,90.0,0.0,55,42,19.4
2026-07-14 17:00:00,85.8,88.4,0.0,57,16,20.3
2026-07-14 18:00:00,84.4,87.2,0.0,62,0,19.3
2026-07-14 19:00:00,82.6,85.9,0.0,67,10,19.1
2026-07-14 20:00:00,80.2,83.1,0.0,72,0,19.9
2026-07-14 21:00:00,80.2,82.3,0.0,68,0,20.0
2026-07-14 22:00:00,79.8,81.4,0.0,67,0,20.4
2026-07-14 23:00:00,78.4,80.3,0.0,70,0,19.3
2026-07-15 00:00:00,77.6,79.3,0.0,71,0,19.1
2026-07-15 01:00:00,77.0,78.8,0.0,73,27,19.0
2026-07-15 02:00:00,75.9,77.9,0.0,77,34,19.4
2026-07-15 03:00:00,76.0,77.9,0.0,76,10,19.3
2026-07-15 04:00:00,75.2,77.2,0.0,78,1,18.7
2026-07-15 05:00:00,74.9,76.8,0.0,78,2,18.4
2026-07-15 06:00:00,74.9,76.8,0.0,77,4,18.1
2026-07-15 07:00:00,75.9,78.3,0.0,77,16,17.9
2026-07-15 08:00:00,77.8,81.1,0.0,77,36,17.6
2026-07-15 09:00:00,81.0,85.4,0.0,72,33,16.0
2026-07-15 10:00:00,83.7,88.3,0.0,66,8,17.1
2026-07-15 11:00:00,86.3,90.9,0.0,58,54,19.1
2026-07-15 12:00:00,88.3,93.7,0.0,53,62,18.2
2026-07-15 13:00:00,90.1,95.4,0.0,48,55,18.4
2026-07-15 14:00:00,90.1,94.9,0.0,49,27,20.3
2026-07-15 15:00:00,90.2,93.6,0.004,47,58,21.4
2026-07-15 16:00:00,88.5,91.2,0.004,52,95,20.4
2026-07-15 17:00:00,83.5,86.5,0.012,63,96,18.2
2026-07-15 18:00:00,82.0,85.5,0.004,66,34,15.8
2026-07-15 19:00:00,79.3,83.1,0.0,69,7,12.6
2026-07-15 20:00:00,75.6,78.2,0.0,71,21,11.9
2026-07-15 21:00:00,73.8,76.9,0.0,75,27,9.6
2026-07-15 22:00:00,73.3,76.0,0.0,75,64,10.3
2026-07-15 23:00:00,72.3,75.5,0.0,77,94,8.7
